Angle,X,Y,Z
10.0,0.0816258,7.740829,130.1673
9.92,0.08111981,7.824519,129.0967
9.75,0.08031849,7.707416,128.057
9.67,0.07981437,7.767375,126.9843
9.58,0.07930969,7.803091,125.9109
9.5,0.07880328,7.855829,124.8363
9.42,0.07871709,7.698162,124.8672
9.33,0.07860668,7.763887,123.7905
9.25,0.07770552,7.804136,122.7146
9.17,0.0772038,7.856094,121.6372
9.08,0.0773028,7.701281,121.6649
9.0,0.07672131,7.758106,120.5868
8.92,0.07628918,7.81201,119.5068
8.83,0.07578119,7.851257,118.4268
8.67,0.07528556,7.739443,117.3717
8.58,0.07469384,7.795117,116.2903
8.50,0.07418531,7.851602,115.2076
8.42,0.07453678,7.687417,115.2313
8.33,0.07368975,7.744382,114.1479
8.25,0.07326594,7.802067,113.0642
8.17,0.07265092,7.886245,111.9777
8.08,0.07266736,7.708507,112.0006
8.0,0.07248155,7.77124,110.9139
7.92,0.07174616,7.82759,109.8284
7.83,0.07123029,7.865497,108.7391
7.67,0.07072565,7.7778,107.6709
7.58,0.07011572,7.838032,106.5816
7.42,0.06992697,7.730551,105.5106
7.33,0.06910025,7.809355,104.4195
7.25,0.06868338,7.858883,103.3274
7.17,0.06807284,7.888755,102.235
7.0,0.0678681,7.798206,101.159
6.91,0.06706902,7.862934,100.0656
6.83,0.0671632,7.738572,100.0823
6.75,0.06664639,7.782035,98.98686
6.67,0.06614356,7.836563,97.89101
6.58,0.06580739,7.878459,96.79434
6.42,0.06501419,7.79452,95.71552
6.33,0.06460053,7.860668,94.61501
6.17,0.06426374,7.774245,93.53079
6.08,0.06346897,7.833946,92.43457
6.0,0.06305259,7.894359,91.3313
5.83,0.06253994,7.807278,90.24391
5.67,0.06202346,7.739368,89.15533
5.58,0.0615075,7.805907,88.05306
5.50,0.06097591,7.851594,86.95061
5.42,0.0606308,7.898963,85.8472
5.33,0.06048301,7.776986,85.85868
5.25,0.05994518,7.842208,84.75493
5.17,0.05932876,7.89016,83.65273
5.0,0.059081,7.813253,82.55614
4.83,0.05830204,7.757297,81.4619
4.75,0.05802409,7.823092,80.35294
4.58,0.05739105,7.764421,79.25507
4.50,0.05675028,7.790118,78.14905
4.42,0.05633736,7.844283,77.03926
4.33,0.05592801,7.896311,75.93089
4.17,0.05528443,7.842182,74.83131
4.0,0.05487813,7.797124,73.72761
3.92,0.05414167,7.852835,72.61741
3.83,0.05374388,7.917627,71.50671
3.67,0.05312459,7.877481,70.40393
3.5,0.05278938,7.831637,69.29736
3.33,0.05219135,7.791043,68.19015
3.25,0.0516327,7.852038,67.07758
3.17,0.05119615,7.901024,65.9645
3.00,0.0504965,7.847865,64.85615
2.83,0.05006524,7.805859,63.74659
2.75,0.04961108,7.879753,62.63217
2.58,0.04894677,7.832566,61.52147
2.42,0.04848829,7.802475,60.41013
2.25,0.04751173,7.917149,58.17846
2.08,0.04698793,7.893363,57.06527
2.00,0.04686852,7.830548,57.06814
1.92,0.04638603,7.871531,55.95148
1.75,0.04595463,7.858828,54.83683
1.58,0.04540202,7.842478,53.72174
1.42,0.04480543,7.840032,52.60587
1.33,0.044328,7.895354,51.48789
1.17,0.04372667,7.890947,50.37121
1.0,0.04330213,7.86583,49.25562
0.83,0.04269126,7.866072,48.13614
0.75,0.04222436,7.935479,47.01707
0.67,0.04216329,7.863503,47.01785
0.58,0.0416331,7.939486,45.89859
0.5,0.0417223,7.864086,45.90054
0.33,0.04110138,7.866402,44.77997
0.17,0.04057431,7.865815,43.66043
-0.08,0.04012896,7.838303,42.54067
-0.17,0.03952014,7.896019,41.42022
-0.33,0.03905952,7.926642,40.29955
-0.50,0.03846843,7.942597,39.17874
-0.75,0.03802821,7.907981,38.06273
-0.84,0.03793292,7.844352,38.0561
-0.92,0.03741108,7.918478,36.93537
-1.17,0.0369681,7.894247,35.81609
-1.25,0.03688529,7.856369,35.81268
-1.42,0.0363504,7.859134,34.68948
-1.50,0.0359058,7.95528,33.57023
-1.75,0.03530698,7.951026,32.44909
-2.0,0.0348541,7.941039,31.32463
-2.5,0.03378405,7.956142,29.07283
-2.75,0.03370729,7.838567,29.06724
-2.83,0.03318745,7.907922,27.94665
-2.84,0.03318712,7.932703,27.94662
-3.00,0.03318183,7.844985,27.94264
-3.08,0.03271505,7.946679,26.82219
-3.34,0.03265311,7.844593,26.81604
-3.67,0.03217466,7.840549,25.68909
-3.75,0.03160067,7.945787,24.56922
-4.08,0.03106998,7.938463,23.44279
-4.33,0.03110582,7.838408,23.43566
-4.58,0.03054436,7.898393,22.31174
-5.0,0.0300424,7.896261,21.18325
